XLabel,Wavenumber
YLabel,Absorbance
FileType,Absorbance
DisplayDirection,20300
PeakDirection,20312
898.826141,0.001263
900.754953,-0.000376
902.683764,-0.001055
904.612576,-0.000978
906.541387,0.000109
908.470199,0.000172
910.399010,-0.000182
912.327822,-0.000047
914.256633,-0.000417
916.185445,-0.000753
918.114256,-0.000629
920.043068,-0.000970
921.971879,-0.001232
923.900690,-0.000973
925.829502,-0.000969
927.758313,-0.000785
929.687125,-0.000344
931.615936,-0.000407
933.544748,0.000330
935.473559,0.000699
937.402371,-0.000173
939.331182,-0.000599
941.259994,0.000046
943.188805,0.000722
945.117617,0.000717
947.046428,0.000248
948.975240,0.000073
950.904051,0.000139
952.832862,0.000187
954.761674,0.000320
956.690485,0.000273
958.619297,0.000231
960.548108,0.000320
962.476920,0.000324
964.405731,0.000385
966.334543,0.000249
968.263354,-0.000018
970.192166,0.000186
972.120977,0.000490
974.049789,0.000335
975.978600,-0.000053
977.907411,-0.000050
979.836223,0.000107
981.765034,-0.000039
983.693846,-0.000172
985.622657,-0.000192
987.551469,-0.000135
989.480280,0.000029
991.409092,0.000076
993.337903,-0.000035
995.266715,-0.000176
997.195526,-0.000203
999.124338,-0.000077
1001.053149,0.000050
1002.981960,0.000054
1004.910772,-0.000006
1006.839583,-0.000002
1008.768395,0.000034
1010.697206,0.000117
1012.626018,0.000200
1014.554829,0.000190
1016.483641,0.000255
1018.412452,0.000323
1020.341264,0.000320
1022.270075,0.000378
1024.198887,0.000360
1026.127698,0.000351
1028.056509,0.000520
1029.985321,0.000754
1031.914132,0.001046
1033.842944,0.001297
1035.771755,0.001388
1037.700567,0.001384
1039.629378,0.001341
1041.558190,0.001294
1043.487001,0.001130
1045.415813,0.000898
1047.344624,0.000759
1049.273436,0.000522
1051.202247,0.000262
1053.131058,0.000225
1055.059870,0.000208
1056.988681,0.000094
1058.917493,-0.000011
1060.846304,-0.000107
1062.775116,-0.000206
1064.703927,-0.000309
1066.632739,-0.000335
1068.561550,-0.000329
1070.490362,-0.000320
1072.419173,-0.000258
1074.347985,-0.000144
1076.276796,-0.000042
1078.205607,0.000030
1080.134419,0.000039
1082.063230,-0.000059
1083.992042,-0.000132
1085.920853,-0.000061
1087.849665,0.000010
1089.778476,-0.000074
1091.707288,-0.000153
1093.636099,-0.000038
1095.564911,0.000059
1097.493722,0.000016
1099.422534,0.000048
1101.351345,0.000092
1103.280156,0.000043
1105.208968,0.000010
1107.137779,-0.000078
1109.066591,-0.000209
1110.995402,-0.000189
1112.924214,-0.000085
1114.853025,-0.000082
1116.781837,-0.000107
1118.710648,-0.000063
1120.639460,-0.000058
1122.568271,-0.000089
1124.497083,-0.000052
1126.425894,-0.000024
1128.354706,-0.000109
1130.283517,-0.000216
1132.212328,-0.000333
1134.141140,-0.000436
1136.069951,-0.000354
1137.998763,-0.000226
1139.927574,-0.000189
1141.856386,-0.000126
1143.785197,-0.000090
1145.714009,-0.000118
1147.642820,-0.000103
1149.571632,-0.000030
1151.500443,0.000114
1153.429255,0.000241
1155.358066,0.000381
1157.286877,0.000519
1159.215689,0.000617
1161.144500,0.000776
1163.073312,0.000965
1165.002123,0.001127
1166.930935,0.001220
1168.859746,0.001234
1170.788558,0.001390
1172.717369,0.001565
1174.646181,0.001575
1176.574992,0.001770
1178.503804,0.002141
1180.432615,0.002403
1182.361426,0.002563
1184.290238,0.002695
1186.219049,0.002907
1188.147861,0.003213
1190.076672,0.003634
1192.005484,0.004004
1193.934295,0.004092
1195.863107,0.004186
1197.791918,0.004268
1199.720730,0.004122
1201.649541,0.004198
1203.578353,0.004546
1205.507164,0.004686
1207.435975,0.004728
1209.364787,0.004998
1211.293598,0.005456
1213.222410,0.005954
1215.151221,0.006610
1217.080033,0.007316
1219.008844,0.007887
1220.937656,0.008862
1222.866467,0.009866
1224.795279,0.010603
1226.724090,0.012205
1228.652902,0.014250
1230.581713,0.016516
1232.510524,0.020011
1234.439336,0.024437
1236.368147,0.030674
1238.296959,0.040325
1240.225770,0.053980
1242.154582,0.073916
1244.083393,0.102900
1246.012205,0.140928
1247.941016,0.185606
1249.869828,0.231070
1251.798639,0.267554
1253.727451,0.285393
1255.656262,0.282296
1257.585073,0.281974
1259.513885,0.309442
1261.442696,0.331164
1263.371508,0.305550
1265.300319,0.276669
1267.229131,0.284722
1269.157942,0.307954
1271.086754,0.307440
1273.015565,0.269105
1274.944377,0.207940
1276.873188,0.148487
1278.802000,0.105533
1280.730811,0.079738
1282.659622,0.064325
1284.588434,0.054649
1286.517245,0.049141
1288.446057,0.045462
1290.374868,0.042805
1292.303680,0.041181
1294.232491,0.039600
1296.161303,0.038342
1298.090114,0.038005
1300.018926,0.038627
1301.947737,0.039211
1303.876549,0.039215
1305.805360,0.039596
1307.734172,0.040566
1309.662983,0.041816
1311.591794,0.042242
1313.520606,0.041629
1315.449417,0.040093
1317.378229,0.037435
1319.307040,0.034272
1321.235852,0.031200
1323.164663,0.032643
1325.093475,0.035110
1327.022286,0.029291
1328.951098,0.023276
1330.879909,0.023081
1332.808721,0.022884
1334.737532,0.022792
1336.666343,0.022864
1338.595155,0.021980
1340.523966,0.021535
1342.452778,0.020312
1344.381589,0.017429
1346.310401,0.013963
1348.239212,0.010828
1350.168024,0.008280
1352.096835,0.006238
1354.025647,0.004660
1355.954458,0.003660
1357.883270,0.002904
1359.812081,0.001404
1361.740892,-0.000343
1363.669704,-0.000034
1365.598515,0.001358
1367.527327,0.001559
1369.456138,0.001644
1371.384950,0.001625
1373.313761,0.000456
1375.242573,0.000315
1377.171384,0.001511
1379.100196,0.002083
1381.029007,0.002309
1382.957819,0.002555
1384.886630,0.001799
1386.815441,0.000539
1388.744253,0.001241
1390.673064,0.002572
1392.601876,0.001248
1394.530687,-0.000496
1396.459499,-0.000128
1398.388310,0.000271
1400.317122,0.001641
1402.245933,0.003222
1404.174745,0.002813
1406.103556,0.003066
1408.032368,0.004302
1409.961179,0.004774
1411.889990,0.005012
1413.818802,0.005424
1415.747613,0.004713
1417.676425,0.001721
1419.605236,0.001353
1421.534048,0.004863
1423.462859,0.006566
1425.391671,0.007486
1427.320482,0.008325
1429.249294,0.007724
1431.178105,0.008538
1433.106917,0.009619
1435.035728,0.006777
1436.964539,0.005285
1438.893351,0.009417
1440.822162,0.012070
1442.750974,0.012525
1444.679785,0.012663
1446.608597,0.011755
1448.537408,0.011720
1450.466220,0.012732
1452.395031,0.012842
1454.323843,0.009799
1456.252654,0.003773
1458.181466,0.005022
1460.110277,0.012179
1462.039089,0.014463
1463.967900,0.012627
1465.896711,0.013153
1467.825523,0.015782
1469.754334,0.014206
1471.683146,0.009411
1473.611957,0.009106
1475.540769,0.012480
1477.469580,0.015425
1479.398392,0.016997
1481.327203,0.017422
1483.256015,0.017725
1485.184826,0.016708
1487.113638,0.013969
1489.042449,0.011798
1490.971260,0.013139
1492.900072,0.015589
1494.828883,0.013831
1496.757695,0.010855
1498.686506,0.011906
1500.615318,0.014277
1502.544129,0.014357
1504.472941,0.008011
1506.401752,-0.000048
1508.330564,0.003798
1510.259375,0.009503
1512.188187,0.011244
1514.116998,0.010700
1516.045809,0.008309
1517.974621,0.006805
1519.903432,0.004428
1521.832244,0.002971
1523.761055,0.006250
1525.689867,0.008193
1527.618678,0.009577
1529.547490,0.011917
1531.476301,0.010541
1533.405113,0.008333
1535.333924,0.010464
1537.262736,0.008574
1539.191547,0.000491
1541.120358,0.000157
1543.049170,0.006086
1544.977981,0.011346
1546.906793,0.015749
1548.835604,0.017807
1550.764416,0.019572
1552.693227,0.020943
1554.622039,0.022351
1556.550850,0.021865
1558.479662,0.021300
1560.408473,0.038153
1562.337285,0.059007
1564.266096,0.075724
1566.194907,0.095263
1568.123719,0.116820
1570.052530,0.148317
1571.981342,0.190539
1573.910153,0.232538
1575.838965,0.288951
1577.767776,0.363296
1579.696588,0.438158
1581.625399,0.517992
1583.554211,0.597589
1585.483022,0.678495
1587.411834,0.769341
1589.340645,0.868610
1591.269456,0.974894
1593.198268,1.070743
1595.127079,1.129761
1597.055891,1.143102
1598.984702,1.133169
1600.913514,1.097861
1602.842325,1.055635
1604.771137,1.029457
1606.699948,1.004444
1608.628760,0.977744
1610.557571,0.915424
1612.486383,0.834005
1614.415194,0.740051
1616.344005,0.657928
1618.272817,0.747308
1620.201628,1.026733
1622.130440,1.317358
1624.059251,1.454329
1625.988063,1.558712
1627.916874,1.637705
1629.845686,1.632969
1631.774497,1.493820
1633.703309,1.297662
1635.632120,1.063930
1637.560932,0.881036
1639.489743,0.739146
1641.418555,0.589644
1643.347366,0.451538
1645.276177,0.328846
1647.204989,0.215430
1649.133800,0.140210
1651.062612,0.085547
1652.991423,0.034221
1654.920235,0.017312
1656.849046,0.015640
1658.777858,0.010413
1660.706669,0.005191
1662.635481,0.001661
1664.564292,0.002396
1666.493104,0.002740
1668.421915,-0.000713
1670.350726,0.000378
1672.279538,0.005003
1674.208349,0.007004
1676.137161,0.011810
1678.065972,0.019370
1679.994784,0.024120
1681.923595,0.024549
1683.852407,0.024154
1685.781218,0.032009
1687.710030,0.039894
1689.638841,0.042279
1691.567653,0.044169
1693.496464,0.040933
1695.425275,0.039726
1697.354087,0.052542
1699.282898,0.054355
1701.211710,0.043288
1703.140521,0.045320
1705.069333,0.052743
1706.998144,0.059704
1708.926956,0.070955
1710.855767,0.085226
1712.784579,0.092452
1714.713390,0.091880
1716.642202,0.094152
1718.571013,0.103905
1720.499824,0.116541
1722.428636,0.126695
1724.357447,0.136414
1726.286259,0.147240
1728.215070,0.159624
1730.143882,0.176039
1732.072693,0.192331
1734.001505,0.218396
1735.930316,0.255674
1737.859128,0.283856
1739.787939,0.305896
1741.716751,0.322502
1743.645562,0.329101
1745.574373,0.326158
1747.503185,0.318067
1749.431996,0.310983
1751.360808,0.311247
1753.289619,0.316352
1755.218431,0.316873
1757.147242,0.310200
1759.076054,0.292133
1761.004865,0.254513
1762.933677,0.206476
1764.862488,0.165373
1766.791300,0.125883
1768.720111,0.090895
1770.648922,0.064550
1772.577734,0.044776
1774.506545,0.035346
1776.435357,0.029960
1778.364168,0.024658
1780.292980,0.021230
1782.221791,0.020013
1784.150603,0.019509
1786.079414,0.019625
1788.008226,0.020590
1789.937037,0.018904
1791.865849,0.015564
1793.794660,0.015724
1795.723471,0.017144
1797.652283,0.016199
1799.581094,0.013583
1801.509906,0.012334
1803.438717,0.013429
1805.367529,0.014234
1807.296340,0.013368
1809.225152,0.011636
1811.153963,0.010443
1813.082775,0.010320
1815.011586,0.010003
1816.940398,0.009273
1818.869209,0.008816
1820.798021,0.008490
1822.726832,0.007276
1824.655643,0.005884
1826.584455,0.005858
1828.513266,0.005289
1830.442078,0.005032
1832.370889,0.007032
1834.299701,0.008502
1836.228512,0.008794
1838.157324,0.009272
1840.086135,0.009583
1842.014947,0.008144
1843.943758,0.006222
1845.872570,0.007225
1847.801381,0.008865
1849.730192,0.009264
1851.659004,0.009380
1853.587815,0.009104
1855.516627,0.008678
1857.445438,0.008170
1859.374250,0.007645
1861.303061,0.007024
1863.231873,0.006057
1865.160684,0.004420
1867.089496,0.001548
1869.018307,-0.000402
1870.947119,0.000052
1872.875930,0.002639
1874.804741,0.005935
1876.733553,0.004809
1878.662364,0.001380
1880.591176,0.001535
1882.519987,0.003175
1884.448799,0.004637
1886.377610,0.006115
1888.306422,0.006712
1890.235233,0.007878
1892.164045,0.009687
1894.092856,0.010743
1896.021668,0.011540
1897.950479,0.012443
1899.879290,0.013034
1901.808102,0.013271
1903.736913,0.013390
1905.665725,0.013247
1907.594536,0.012716
1909.523348,0.012217
1911.452159,0.011969
1913.380971,0.011659
1915.309782,0.010379
1917.238594,0.008462
1919.167405,0.007953
1921.096217,0.007995
1923.025028,0.007279
1924.953839,0.006933
1926.882651,0.006600
1928.811462,0.005804
1930.740274,0.005058
1932.669085,0.004365
1934.597897,0.003750
1936.526708,0.003193
1938.455520,0.002668
1940.384331,0.001702
1942.313143,0.000705
1944.241954,0.000747
1946.170766,0.001057
1948.099577,0.001035
1950.028388,0.000930
1951.957200,0.000718
1953.886011,0.000558
1955.814823,0.000573
1957.743634,0.000639
1959.672446,0.000593
1961.601257,0.000547
1963.530069,0.000511
1965.458880,0.000243
1967.387692,0.000057
1969.316503,0.000315
1971.245315,0.000547
1973.174126,0.000594
1975.102938,0.000592
1977.031749,0.000541
1978.960560,0.000540
1980.889372,0.000578
1982.818183,0.000557
1984.746995,0.000441
1986.675806,0.000333
1988.604618,0.000247
1990.533429,-0.000074
1992.462241,-0.000193
1994.391052,0.000196
1996.319864,0.000374
1998.248675,0.000321
2000.177487,0.000445
2002.106298,0.000510
2004.035109,0.000410
2005.963921,0.000325
2007.892732,0.000289
2009.821544,0.000283
2011.750355,0.000340
2013.679167,0.000342
2015.607978,0.000123
2017.536790,-0.000040
2019.465601,0.000053
2021.394413,0.000149
2023.323224,0.000216
2025.252036,0.000303
2027.180847,0.000304
2029.109658,0.000249
2031.038470,0.000204
2032.967281,0.000205
2034.896093,0.000186
2036.824904,0.000119
2038.753716,0.000140
2040.682527,0.000186
2042.611339,0.000168
2044.540150,0.000182
2046.468962,0.000198
2048.397773,0.000132
2050.326585,0.000059
2052.255396,0.000081
2054.184207,0.000148
2056.113019,0.000168
2058.041830,0.000124
2059.970642,0.000076
2061.899453,0.000037
2063.828265,-0.000069
2065.757076,-0.000147
2067.685888,-0.000098
2069.614699,0.000017
2071.543511,0.000154
2073.472322,0.000169
2075.401134,0.000054
2077.329945,0.000003
2079.258756,0.000044
2081.187568,0.000059
2083.116379,0.000031
2085.045191,0.000068
2086.974002,0.000108
2088.902814,0.000040
2090.831625,-0.000005
2092.760437,0.000006
2094.689248,-0.000028
2096.618060,-0.000051
2098.546871,0.000008
2100.475683,0.000064
2102.404494,0.000115
2104.333305,0.000141
2106.262117,0.000061
2108.190928,0.000040
2110.119740,0.000127
2112.048551,0.000182
2113.977363,0.000194
2115.906174,0.000185
2117.834986,0.000198
2119.763797,0.000274
2121.692609,0.000364
2123.621420,0.000351
2125.550232,0.000220
2127.479043,0.000133
2129.407854,0.000151
2131.336666,0.000144
2133.265477,0.000081
2135.194289,0.000041
2137.123100,0.000012
2139.051912,-0.000014
2140.980723,-0.000017
2142.909535,-0.000054
2144.838346,-0.000092
2146.767158,-0.000060
2148.695969,-0.000001
2150.624781,0.000028
2152.553592,0.000044
2154.482404,0.000090
2156.411215,0.000149
2158.340026,0.000145
2160.268838,0.000098
2162.197649,0.000101
2164.126461,0.000138
2166.055272,0.000179
2167.984084,0.000226
2169.912895,0.000227
2171.841707,0.000208
2173.770518,0.000237
2175.699330,0.000264
2177.628141,0.000305
2179.556953,0.000383
2181.485764,0.000447
2183.414575,0.000522
2185.343387,0.000579
2187.272198,0.000594
2189.201010,0.000647
2191.129821,0.000738
2193.058633,0.000876
2194.987444,0.001038
2196.916256,0.001166
2198.845067,0.001334
2200.773879,0.001539
2202.702690,0.001658
2204.631502,0.001727
2206.560313,0.001832
2208.489124,0.001936
2210.417936,0.001974
2212.346747,0.001926
2214.275559,0.001829
2216.204370,0.001683
2218.133182,0.001433
2220.061993,0.001103
2221.990805,0.000759
2223.919616,0.000650
2225.848428,0.000953
2227.777239,0.001415
2229.706051,0.001842
2231.634862,0.002255
2233.563673,0.002560
2235.492485,0.002672
2237.421296,0.002649
2239.350108,0.002568
2241.278919,0.002367
2243.207731,0.002007
2245.136542,0.001617
2247.065354,0.001286
2248.994165,0.000961
2250.922977,0.000603
2252.851788,0.000294
2254.780600,0.000129
2256.709411,0.000104
2258.638222,0.000132
2260.567034,0.000166
2262.495845,0.000194
2264.424657,0.000187
2266.353468,0.000193
2268.282280,0.000240
2270.211091,0.000243
2272.139903,0.000236
2274.068714,0.000270
2275.997526,0.000283
2277.926337,0.000300
2279.855149,0.000308
2281.783960,0.000261
2283.712771,0.000262
2285.641583,0.000330
2287.570394,0.000374
2289.499206,0.000340
2291.428017,0.000261
2293.356829,0.000238
2295.285640,0.000308
2297.214452,0.000462
2299.143263,0.000571
2301.072075,0.000559
2303.000886,0.000597
2304.929698,0.000692
2306.858509,0.000750
2308.787320,0.000864
2310.716132,0.001022
2312.644943,0.001102
2314.573755,0.001146
2316.502566,0.001226
2318.431378,0.001296
2320.360189,0.001359
2322.289001,0.001375
2324.217812,0.001309
2326.146624,0.001306
2328.075435,0.001408
2330.004247,0.001501
2331.933058,0.001502
2333.861870,0.001468
2335.790681,0.001496
2337.719492,0.001565
2339.648304,0.001568
2341.577115,0.001456
2343.505927,0.001351
2345.434738,0.001230
2347.363550,0.001020
2349.292361,0.000975
2351.221173,0.001146
2353.149984,0.001346
2355.078796,0.001544
2357.007607,0.001654
2358.936419,0.001682
2360.865230,0.001724
2362.794041,0.001742
2364.722853,0.001819
2366.651664,0.001858
2368.580476,0.001709
