XLabel,Wavenumber
YLabel,Absorbance
FileType,Absorbance
DisplayDirection,20300
PeakDirection,20312
898.826141,0.003443
900.754953,0.001634
902.683764,-0.000262
904.612576,0.000090
906.541387,0.000812
908.470199,0.000302
910.399010,0.000915
912.327822,0.002121
914.256633,0.000868
916.185445,-0.000804
918.114256,0.000180
920.043068,0.001500
921.971879,0.000813
923.900690,0.000221
925.829502,0.000197
927.758313,-0.000025
929.687125,-0.000153
931.615936,0.000132
933.544748,0.000219
935.473559,0.000035
937.402371,0.000176
939.331182,0.000063
941.259994,-0.000387
943.188805,-0.000518
945.117617,-0.000225
947.046428,0.000334
948.975240,0.000857
950.904051,0.000936
952.832862,0.000554
954.761674,0.000287
956.690485,0.000476
958.619297,0.000245
960.548108,-0.000170
962.476920,-0.000145
964.405731,0.000051
966.334543,0.000198
968.263354,0.000128
970.192166,0.000061
972.120977,0.000251
974.049789,0.000251
975.978600,-0.000031
977.907411,-0.000230
979.836223,-0.000252
981.765034,-0.000069
983.693846,-0.000035
985.622657,-0.000263
987.551469,-0.000132
989.480280,0.000162
991.409092,0.000108
993.337903,0.000098
995.266715,0.000286
997.195526,0.000303
999.124338,0.000037
1001.053149,-0.000272
1002.981960,-0.000260
1004.910772,0.000027
1006.839583,0.000159
1008.768395,0.000132
1010.697206,0.000161
1012.626018,0.000088
1014.554829,-0.000058
1016.483641,-0.000011
1018.412452,0.000199
1020.341264,0.000292
1022.270075,0.000092
1024.198887,-0.000060
1026.127698,0.000096
1028.056509,0.000145
1029.985321,0.000002
1031.914132,0.000105
1033.842944,0.000444
1035.771755,0.000632
1037.700567,0.000602
1039.629378,0.000412
1041.558190,0.000074
1043.487001,-0.000017
1045.415813,0.000203
1047.344624,0.000470
1049.273436,0.000538
1051.202247,0.000422
1053.131058,0.000402
1055.059870,0.000376
1056.988681,0.000283
1058.917493,0.000258
1060.846304,0.000248
1062.775116,0.000296
1064.703927,0.000267
1066.632739,0.000222
1068.561550,0.000243
1070.490362,0.000130
1072.419173,0.000090
1074.347985,0.000136
1076.276796,0.000181
1078.205607,0.000270
1080.134419,0.000209
1082.063230,0.000121
1083.992042,0.000122
1085.920853,0.000104
1087.849665,0.000106
1089.778476,0.000149
1091.707288,0.000120
1093.636099,0.000004
1095.564911,-0.000032
1097.493722,-0.000009
1099.422534,0.000044
1101.351345,0.000132
1103.280156,0.000093
1105.208968,-0.000027
1107.137779,-0.000041
1109.066591,0.000090
1110.995402,0.000155
1112.924214,0.000139
1114.853025,0.000221
1116.781837,0.000228
1118.710648,0.000123
1120.639460,0.000050
1122.568271,0.000033
1124.497083,-0.000008
1126.425894,-0.000137
1128.354706,-0.000111
1130.283517,0.000020
1132.212328,0.000011
1134.141140,-0.000057
1136.069951,-0.000160
1137.998763,-0.000152
1139.927574,0.000017
1141.856386,0.000012
1143.785197,-0.000128
1145.714009,-0.000145
1147.642820,-0.000057
1149.571632,0.000069
1151.500443,0.000118
1153.429255,0.000059
1155.358066,-0.000001
1157.286877,-0.000017
1159.215689,0.000086
1161.144500,0.000222
1163.073312,0.000184
1165.002123,0.000076
1166.930935,0.000050
1168.859746,0.000060
1170.788558,-0.000035
1172.717369,-0.000200
1174.646181,-0.000225
1176.574992,-0.000176
1178.503804,-0.000109
1180.432615,0.000026
1182.361426,0.000046
1184.290238,0.000020
1186.219049,0.000020
1188.147861,-0.000094
1190.076672,-0.000102
1192.005484,-0.000051
1193.934295,-0.000180
1195.863107,-0.000270
1197.791918,-0.000274
1199.720730,-0.000227
1201.649541,0.000006
1203.578353,0.000134
1205.507164,0.000057
1207.435975,0.000018
1209.364787,-0.000005
1211.293598,0.000049
1213.222410,0.000146
1215.151221,0.000090
1217.080033,0.000093
1219.008844,0.000169
1220.937656,0.000216
1222.866467,0.000401
1224.795279,0.000504
1226.724090,0.000458
1228.652902,0.000578
1230.581713,0.000809
1232.510524,0.000985
1234.439336,0.001136
1236.368147,0.001394
1238.296959,0.001715
1240.225770,0.001991
1242.154582,0.002439
1244.083393,0.003001
1246.012205,0.003451
1247.941016,0.003937
1249.869828,0.004428
1251.798639,0.004712
1253.727451,0.004674
1255.656262,0.004420
1257.585073,0.004225
1259.513885,0.004299
1261.442696,0.005019
1263.371508,0.005673
1265.300319,0.005148
1267.229131,0.004526
1269.157942,0.004785
1271.086754,0.005167
1273.015565,0.005112
1274.944377,0.004660
1276.873188,0.004108
1278.802000,0.003602
1280.730811,0.003101
1282.659622,0.002704
1284.588434,0.002365
1286.517245,0.002041
1288.446057,0.001789
1290.374868,0.001579
1292.303680,0.001375
1294.232491,0.001241
1296.161303,0.001180
1298.090114,0.001088
1300.018926,0.001040
1301.947737,0.001012
1303.876549,0.000758
1305.805360,0.000497
1307.734172,0.000525
1309.662983,0.000529
1311.591794,0.000469
1313.520606,0.000400
1315.449417,0.000266
1317.378229,0.000077
1319.307040,0.000163
1321.235852,0.000355
1323.164663,0.000157
1325.093475,-0.000179
1327.022286,0.000044
1328.951098,0.000333
1330.879909,0.000198
1332.808721,0.000116
1334.737532,0.000065
1336.666343,-0.000303
1338.595155,-0.000660
1340.523966,-0.000541
1342.452778,-0.000345
1344.381589,-0.000245
1346.310401,-0.000002
1348.239212,-0.000034
1350.168024,-0.000221
1352.096835,-0.000050
1354.025647,-0.000152
1355.954458,-0.000284
1357.883270,-0.000101
1359.812081,0.000022
1361.740892,-0.000042
1363.669704,0.000071
1365.598515,0.000256
1367.527327,0.000215
1369.456138,0.000344
1371.384950,0.000524
1373.313761,0.000240
1375.242573,0.000219
1377.171384,0.000622
1379.100196,0.000656
1381.029007,0.000587
1382.957819,0.000652
1384.886630,0.000581
1386.815441,0.000526
1388.744253,0.000724
1390.673064,0.000949
1392.601876,0.000697
1394.530687,0.000349
1396.459499,0.000459
1398.388310,0.000674
1400.317122,0.001158
1402.245933,0.001559
1404.174745,0.001460
1406.103556,0.001557
1408.032368,0.001771
1409.961179,0.001748
1411.889990,0.001791
1413.818802,0.001838
1415.747613,0.001438
1417.676425,0.000674
1419.605236,0.000752
1421.534048,0.001497
1423.462859,0.001655
1425.391671,0.001754
1427.320482,0.001914
1429.249294,0.001661
1431.178105,0.001666
1433.106917,0.001688
1435.035728,0.000960
1436.964539,0.000749
1438.893351,0.001593
1440.822162,0.002039
1442.750974,0.002044
1444.679785,0.001879
1446.608597,0.001550
1448.537408,0.001391
1450.466220,0.001526
1452.395031,0.001639
1454.323843,0.000945
1456.252654,-0.000300
1458.181466,0.000048
1460.110277,0.001342
1462.039089,0.001767
1463.967900,0.001521
1465.896711,0.001572
1467.825523,0.001964
1469.754334,0.001586
1471.683146,0.000601
1473.611957,0.000518
1475.540769,0.001115
1477.469580,0.001632
1479.398392,0.001969
1481.327203,0.002014
1483.256015,0.002009
1485.184826,0.001837
1487.113638,0.001292
1489.042449,0.000948
1490.971260,0.001375
1492.900072,0.001935
1494.828883,0.001700
1496.757695,0.001259
1498.686506,0.001631
1500.615318,0.002217
1502.544129,0.002104
1504.472941,0.000755
1506.401752,-0.000705
1508.330564,0.000279
1510.259375,0.001523
1512.188187,0.001848
1514.116998,0.001698
1516.045809,0.001224
1517.974621,0.000963
1519.903432,0.000693
1521.832244,0.000612
1523.761055,0.001238
1525.689867,0.001588
1527.618678,0.001872
1529.547490,0.002275
1531.476301,0.001845
1533.405113,0.001308
1535.333924,0.001818
1537.262736,0.001515
1539.191547,-0.000117
1541.120358,-0.000215
1543.049170,0.000875
1544.977981,0.001890
1546.906793,0.002820
1548.835604,0.003139
1550.764416,0.003250
1552.693227,0.003308
1554.622039,0.003167
1556.550850,0.002485
1558.479662,0.001834
1560.408473,0.004290
1562.337285,0.007156
1564.266096,0.008854
1566.194907,0.010792
1568.123719,0.012764
1570.052530,0.015678
1571.981342,0.019915
1573.910153,0.023562
1575.838965,0.028223
1577.767776,0.035582
1579.696588,0.043974
1581.625399,0.053259
1583.554211,0.063019
1585.483022,0.073705
1587.411834,0.085748
1589.340645,0.098469
1591.269456,0.111232
1593.198268,0.122673
1595.127079,0.132086
1597.055891,0.138999
1598.984702,0.143201
1600.913514,0.144076
1602.842325,0.141490
1604.771137,0.136479
1606.699948,0.129019
1608.628760,0.119729
1610.557571,0.108268
1612.486383,0.096355
1614.415194,0.083229
1616.344005,0.069949
1618.272817,0.079724
1620.201628,0.112129
1622.130440,0.146424
1624.059251,0.172372
1625.988063,0.186837
1627.916874,0.192727
1629.845686,0.190209
1631.774497,0.178661
1633.703309,0.160554
1635.632120,0.135552
1637.560932,0.111350
1639.489743,0.091634
1641.418555,0.071418
1643.347366,0.053273
1645.276177,0.037994
1647.204989,0.024581
1649.133800,0.016578
1651.062612,0.010748
1652.991423,0.005105
1654.920235,0.004370
1656.849046,0.005280
1658.777858,0.004978
1660.706669,0.004325
1662.635481,0.003983
1664.564292,0.004150
1666.493104,0.004051
1668.421915,0.003066
1670.350726,0.002724
1672.279538,0.003167
1674.208349,0.003047
1676.137161,0.003136
1678.065972,0.003641
1679.994784,0.003510
1681.923595,0.002525
1683.852407,0.001409
1685.781218,0.002014
1687.710030,0.002862
1689.638841,0.002571
1691.567653,0.002301
1693.496464,0.001413
1695.425275,0.000420
1697.354087,0.001084
1699.282898,0.000594
1701.211710,-0.000255
1703.140521,0.000459
1705.069333,0.000852
1706.998144,0.001688
1708.926956,0.002650
1710.855767,0.002470
1712.784579,0.001984
1714.713390,0.001396
1716.642202,0.000648
1718.571013,0.000919
1720.499824,0.001793
1722.428636,0.002019
1724.357447,0.001989
1726.286259,0.002100
1728.215070,0.002018
1730.143882,0.002010
1732.072693,0.001590
1734.001505,0.001276
1735.930316,0.002568
1737.859128,0.003437
1739.787939,0.003538
1741.716751,0.003923
1743.645562,0.004144
1745.574373,0.004028
1747.503185,0.003703
1749.431996,0.003230
1751.360808,0.003353
1753.289619,0.003987
1755.218431,0.004036
1757.147242,0.003759
1759.076054,0.003607
1761.004865,0.003052
1762.933677,0.002648
1764.862488,0.002459
1766.791300,0.001822
1768.720111,0.001213
1770.648922,0.000586
1772.577734,0.000195
1774.506545,0.000708
1776.435357,0.001226
1778.364168,0.001274
1780.292980,0.001213
1782.221791,0.001293
1784.150603,0.001318
1786.079414,0.001427
1788.008226,0.001614
1789.937037,0.001178
1791.865849,0.000528
1793.794660,0.000694
1795.723471,0.001109
1797.652283,0.001109
1799.581094,0.000862
1801.509906,0.000870
1803.438717,0.001263
1805.367529,0.001598
1807.296340,0.001691
1809.225152,0.001653
1811.153963,0.001644
1813.082775,0.001805
1815.011586,0.001984
1816.940398,0.001989
1818.869209,0.002023
1820.798021,0.002158
1822.726832,0.001954
1824.655643,0.001706
1826.584455,0.001848
1828.513266,0.001798
1830.442078,0.001828
1832.370889,0.002306
1834.299701,0.002575
1836.228512,0.002685
1838.157324,0.002953
1840.086135,0.003098
1842.014947,0.002798
1843.943758,0.002531
1845.872570,0.002970
1847.801381,0.003374
1849.730192,0.003352
1851.659004,0.003317
1853.587815,0.003247
1855.516627,0.003036
1857.445438,0.002799
1859.374250,0.002669
1861.303061,0.002432
1863.231873,0.001979
1865.160684,0.001393
1867.089496,0.000580
1869.018307,-0.000017
1870.947119,-0.000131
1872.875930,0.000581
1874.804741,0.001807
1876.733553,0.001399
1878.662364,0.000095
1880.591176,0.000115
1882.519987,0.000688
1884.448799,0.001183
1886.377610,0.001738
1888.306422,0.002061
1890.235233,0.002548
1892.164045,0.003163
1894.092856,0.003494
1896.021668,0.003712
1897.950479,0.003986
1899.879290,0.004185
1901.808102,0.004312
1903.736913,0.004431
1905.665725,0.004418
1907.594536,0.004314
1909.523348,0.004139
1911.452159,0.003919
1913.380971,0.003795
1915.309782,0.003455
1917.238594,0.002882
1919.167405,0.002699
1921.096217,0.002673
1923.025028,0.002398
1924.953839,0.002186
1926.882651,0.001983
1928.811462,0.001701
1930.740274,0.001468
1932.669085,0.001195
1934.597897,0.000947
1936.526708,0.000796
1938.455520,0.000646
1940.384331,0.000381
1942.313143,0.000102
1944.241954,0.000037
1946.170766,0.000079
1948.099577,0.000145
1950.028388,0.000194
1951.957200,0.000108
1953.886011,0.000013
1955.814823,0.000033
1957.743634,0.000050
1959.672446,0.000001
1961.601257,0.000002
1963.530069,0.000060
1965.458880,0.000031
1967.387692,-0.000073
1969.316503,-0.000114
1971.245315,-0.000071
1973.174126,-0.000022
1975.102938,0.000059
1977.031749,0.000132
1978.960560,0.000069
1980.889372,0.000007
1982.818183,0.000041
1984.746995,0.000019
1986.675806,-0.000050
1988.604618,-0.000084
1990.533429,-0.000133
1992.462241,-0.000151
1994.391052,-0.000041
1996.319864,0.000088
1998.248675,0.000133
2000.177487,0.000122
2002.106298,0.000050
2004.035109,-0.000057
2005.963921,-0.000040
2007.892732,0.000134
2009.821544,0.000232
2011.750355,0.000191
2013.679167,0.000125
2015.607978,-0.000014
2017.536790,-0.000059
2019.465601,0.000111
2021.394413,0.000146
2023.323224,0.000058
2025.252036,0.000121
2027.180847,0.000164
2029.109658,0.000132
2031.038470,0.000175
2032.967281,0.000199
2034.896093,0.000153
2036.824904,0.000137
2038.753716,0.000173
2040.682527,0.000184
2042.611339,0.000147
2044.540150,0.000111
2046.468962,0.000057
2048.397773,0.000019
2050.326585,0.000083
2052.255396,0.000194
2054.184207,0.000218
2056.113019,0.000172
2058.041830,0.000200
2059.970642,0.000224
2061.899453,0.000113
2063.828265,0.000035
2065.757076,0.000067
2067.685888,0.000123
2069.614699,0.000207
2071.543511,0.000219
2073.472322,0.000109
2075.401134,0.000079
2077.329945,0.000130
2079.258756,0.000082
2081.187568,0.000022
2083.116379,0.000087
2085.045191,0.000206
2086.974002,0.000234
2088.902814,0.000162
2090.831625,0.000158
2092.760437,0.000211
2094.689248,0.000190
2096.618060,0.000183
2098.546871,0.000223
2100.475683,0.000205
2102.404494,0.000175
2104.333305,0.000220
2106.262117,0.000260
2108.190928,0.000234
2110.119740,0.000255
2112.048551,0.000289
2113.977363,0.000204
2115.906174,0.000168
2117.834986,0.000293
2119.763797,0.000375
2121.692609,0.000316
2123.621420,0.000261
2125.550232,0.000282
2127.479043,0.000261
2129.407854,0.000156
2131.336666,0.000132
2133.265477,0.000258
2135.194289,0.000317
2137.123100,0.000201
2139.051912,0.000087
2140.980723,0.000023
2142.909535,-0.000002
2144.838346,0.000099
2146.767158,0.000211
2148.695969,0.000270
2150.624781,0.000288
2152.553592,0.000196
2154.482404,0.000159
2156.411215,0.000273
2158.340026,0.000367
2160.268838,0.000299
2162.197649,0.000190
2164.126461,0.000251
2166.055272,0.000343
2167.984084,0.000352
2169.912895,0.000404
2171.841707,0.000487
2173.770518,0.000457
2175.699330,0.000339
2177.628141,0.000355
2179.556953,0.000475
2181.485764,0.000596
2183.414575,0.000697
2185.343387,0.000643
2187.272198,0.000618
2189.201010,0.000758
2191.129821,0.000802
2193.058633,0.000744
2194.987444,0.000729
2196.916256,0.000795
2198.845067,0.001019
2200.773879,0.001236
2202.702690,0.001297
2204.631502,0.001380
2206.560313,0.001461
2208.489124,0.001493
2210.417936,0.001559
2212.346747,0.001540
2214.275559,0.001436
2216.204370,0.001247
2218.133182,0.000998
2220.061993,0.000852
2221.990805,0.000635
2223.919616,0.000436
2225.848428,0.000638
2227.777239,0.001067
2229.706051,0.001478
2231.634862,0.001801
2233.563673,0.001922
2235.492485,0.001939
2237.421296,0.001919
2239.350108,0.001823
2241.278919,0.001689
2243.207731,0.001493
2245.136542,0.001217
2247.065354,0.000921
2248.994165,0.000697
2250.922977,0.000523
2252.851788,0.000335
2254.780600,0.000164
2256.709411,0.000016
2258.638222,-0.000008
2260.567034,0.000057
2262.495845,0.000083
2264.424657,0.000106
2266.353468,0.000083
2268.282280,0.000104
2270.211091,0.000120
2272.139903,0.000014
2274.068714,-0.000031
2275.997526,-0.000087
2277.926337,-0.000123
2279.855149,-0.000025
2281.783960,0.000055
2283.712771,0.000102
2285.641583,0.000073
2287.570394,-0.000019
2289.499206,-0.000121
2291.428017,-0.000244
2293.356829,-0.000239
2295.285640,-0.000218
2297.214452,-0.000341
2299.143263,-0.000400
2301.072075,-0.000441
2303.000886,-0.000636
2304.929698,-0.000797
2306.858509,-0.000948
2308.787320,-0.000682
2310.716132,-0.000449
2312.644943,-0.000248
2314.573755,-0.000015
2316.502566,0.000346
2318.431378,0.000639
2320.360189,0.000694
2322.289001,0.000711
2324.217812,0.000564
2326.146624,0.000496
2328.075435,0.000365
2330.004247,0.000295
2331.933058,0.000201
2333.861870,0.000087
2335.790681,0.000038
2337.719492,0.000048
2339.648304,0.000031
2341.577115,0.000175
2343.505927,0.000774
2345.434738,0.001799
2347.363550,0.003072
2349.292361,0.003601
2351.221173,0.002773
2353.149984,0.001534
2355.078796,0.000644
2357.007607,0.000151
2358.936419,0.000096
2360.865230,0.000231
2362.794041,0.000557
2364.722853,0.000322
2366.651664,-0.000093
